n,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
5,72.25978644651342,112.16522982117324,0.014531337999999394,0.013153192999999952,6.9194779640000625,0.013838955928000125,0.01384027,0.008223262999999648,4.457709406000039,0.008915418812000078,0.9431625279256576,0.05683747207434242,0.9055887149006231,0.09441128509937691,3.0,4500,2000,2.0,3501,1000
6,58.57427003052186,111.98802605748973,0.017902547999998575,0.01630925599999955,8.536171252999997,0.017072342505999996,0.016461274,0.008154031000000117,4.46476304299999,0.00892952608599998,0.9289545391013341,0.07104546089866592,0.8942063109131109,0.10579368908688913,4.0,5500,2500,2.0,3501,1000
7,49.12268174953467,112.15007093838595,0.02139265099999932,0.01944813499999931,10.178597384999982,0.020357194769999965,0.02005224,0.00838175799999874,4.458311936999975,0.008916623873999949,0.9149720372636586,0.08502796273634139,0.8830383880975193,0.11696161190248067,5.0,6500,3000,2.0,3501,1000
8,42.38666376041547,111.8569665532414,0.02460491199999737,0.02281596699999966,11.796163123999996,0.023592326247999992,0.023833062,0.008352463999997894,4.469994274000013,0.008939988548000025,0.9013411804875738,0.09865881951242617,0.8720168862536098,0.12798311374639015,6.0,7500,3500,2.0,3501,1000
9,37.23889287224133,111.76686096965096,0.027948424999998167,0.025789391000003548,13.426822374000027,0.026853644748000054,0.027070387,0.00836722000000023,4.473597949000012,0.008947195898000023,0.8879422901253774,0.1120577098746226,0.8612375544061452,0.13876244559385476,7.0,8500,4000,2.0,3501,1000
10,33.22204057380518,111.73109354144309,0.03112735400000588,0.02905252000000047,15.05024951400001,0.03010049902800002,0.029684556,0.008302215999997031,4.47503003999993,0.00895006007999986,0.8748637460187962,0.12513625398120376,0.8506303487596282,0.14936965124037183,8.0,9500,4500,2.0,3501,1000
11,29.98552337313005,111.64491387659248,0.03456191499999761,0.032152659000004746,16.674713120000057,0.03334942624000011,0.033558677,0.008240518000000918,4.478484354000027,0.008956968708000055,0.8620246301871092,0.13797536981289082,0.8401795361220041,0.15982046387799587,9.0,10500,5000,2.0,3501,1000
12,27.335532204163425,111.5611359660466,0.03793319300000064,0.03519967400000468,18.29121146300001,0.03658242292600002,0.036291516,0.00826000699999696,4.481847514999972,0.008963695029999944,0.8494905093186584,0.15050949068134156,0.8299340714394738,0.17006592856052616,10.0,11500,5500,2.0,3501,1000
13,25.08534733162007,111.42971066746867,0.04140321799999924,0.03832021600000024,19.931954434999994,0.03986390886999999,0.039640726,0.008428372000000905,4.487133610999965,0.00897426722199993,0.8371368426953989,0.1628631573046011,0.8088557903149224,0.19114420968507762,11.0,12500,6000,2.0,3501,1000
14,23.188778345729105,111.41901118525828,0.04457920499999801,0.04198291700000212,21.562153578999975,0.043124307157999954,0.042735246,0.008303193999999792,4.48756450699999,0.00897512901399998,0.8250712087583746,0.17492879124162541,0.7935614901805198,0.2064385098194802,12.0,13500,6500,2.0,3501,1000
15,21.567306001504733,111.22957743315712,0.04753434799999923,0.045185502000000044,23.183238553999995,0.046366477107999994,0.045959497,0.008423522000001071,4.495207224000042,0.008990414448000085,0.8132762083440015,0.1867237916559985,0.7825007396470339,0.21749926035296607,13.0,14500,7000,2.0,3501,1000
16,20.148922857671106,111.19439440289635,0.05101257299999773,0.04819447799999921,24.815222308999996,0.049630444617999994,0.049174909,0.008292490999998847,4.496629552999987,0.008993259105999973,0.8016975679513053,0.1983024320486947,0.7732663762646695,0.22673362373533046,14.0,15500,7500,2.0,3501,1000
17,18.89924277873562,110.96435970972803,0.05424990200000224,0.05149675799999898,26.456086408000022,0.052912172816000046,0.052613586,0.008302404000000152,4.505951291999985,0.009011902583999969,0.7903352742494714,0.20966472575052864,0.764176161929275,0.23582383807072504,15.0,16500,8000,2.0,3501,1000
18,17.823542062690485,111.00886516242164,0.05739918900000163,0.05447218499999806,28.052785369000016,0.05610557073800003,0.055614371,0.008184888000000001,4.504144774999991,0.009008289549999982,0.7793165930662518,0.22068340693374822,0.7552702256890321,0.24472977431096787,16.0,17500,8500,2.0,3501,1000
